station_no,name,empty_slots,free_bikes,slots,latitude,longitude,avg_rating,total_review_count,POI,avg_rating_fsq,total_ratings_count_fsq,POI_fsq
227,Jeanne-Mance / Laurier,12,8,23,45.52027633320609,-73.59497621666378,4.090909090909091,33.0,11.0,,,
228,Milton / Durocher,5,18,27,45.508140959417744,-73.57492983341217,4.125,53.0,8.0,,0.0,1.0
229,Clark / Prince-Arthur,28,1,31,45.513342512307055,-73.57301607728004,3.9285714285714284,44.0,7.0,,,
230,Bercy / Rachel,7,3,15,45.53840340979245,-73.56196403503418,3.6666666666666665,4.0,3.0,,,
231,de l'Esplanade / du Mont-Royal,5,18,23,45.51825290855221,-73.5883381962776,4.25,31.0,10.0,,0.0,4.0
232,Villeneuve / St-Urbain,14,0,19,45.520188,-73.590559,4.277777777777778,30.0,9.0,8.7,17.0,3.0
233,de Rouen / Hogan,10,3,15,45.53636263222538,-73.55421245098114,3.0,1.0,1.0,8.8,46.0,1.0
234,de Gaspé / St-Viateur,19,0,19,45.527672646696104,-73.59738260507582,4.0,26.0,7.0,,,
235,Waverly / Van Horne,4,7,11,45.527363,-73.607723,3.9166666666666665,12.0,6.0,,,
236,Poupart / Ontario,18,1,19,45.531836726498305,-73.55348825454712,3.0,1.0,1.0,,,
237,Querbes / Laurier,9,2,15,45.51748721436461,-73.59788417816162,4.1,29.0,10.0,,,
238,Berri / Cherrier,21,16,39,45.519266156911335,-73.5692971944809,4.214285714285714,108.0,7.0,8.7,103.0,1.0
239,Aylmer / Prince-Arthur,12,11,23,45.508566869474386,-73.57769787311554,4.3125,51.0,8.0,,0.0,1.0
240,Bloomfied / Elmwood,13,0,15,45.51825588419192,-73.60320568084717,4.0,15.0,9.0,,,
241,Marie-Anne / St-Hubert,8,10,19,45.5246829812827,-73.5788968205452,4.1875,123.0,8.0,7.8,15.0,1.0
242,Durocher / Bernard,14,0,15,45.52222528598142,-73.60668718814848,4.0,13.0,7.0,,,
243,Fullum / de Rouen,16,10,27,45.5321322155395,-73.55876013636589,4.166666666666667,58.0,3.0,,0.0,2.0
244,Sherbrooke / Frontenac,7,8,15,45.5367,-73.56081,4.0,3.0,2.0,7.8,15.0,3.0
245,Square St-Louis (du Square St-Louis / Laval),25,5,31,45.516090801970655,-73.5701286792755,4.0,60.0,7.0,7.6,11.0,2.0
246,St-Dominique / du Mont-Royal,19,2,23,45.52055948154798,-73.58582027256489,4.277777777777778,30.0,9.0,,,
247,St-André / Cherrier,25,1,27,45.52051578783967,-73.567695915699,4.25,103.0,6.0,,,
248,Gauthier / Parthenais,14,0,15,45.53292625574653,-73.56377989053726,3.7,60.0,5.0,,,
249,Garnier / St-Grégoire,17,5,23,45.5358215436799,-73.58710169792175,4.7,23.0,5.0,,0.0,5.0
250,de Lanaudière / Marie-Anne,15,3,19,45.52932643090091,-73.57480645179749,4.4,77.0,5.0,,,
251,de Lanaudière / du Mont-Royal,9,19,31,45.53022106537559,-73.57699647545813,4.4,77.0,5.0,7.6499999999999995,34.0,3.0
252,Boyer / du Mont-Royal,24,2,27,45.527432126380575,-73.57991673052311,4.142857142857143,81.0,7.0,8.7,17.0,3.0
253,Chapleau / du Mont-Royal,9,6,15,45.53867,-73.56936,4.333333333333333,4.0,3.0,,0.0,1.0
254,Parc de Bullion (de Bullion / Prince-Arthur),16,2,19,45.515604257816335,-73.57213497161865,4.0,64.0,8.0,,0.0,2.0
255,Hutchison / Van Horne,16,2,19,45.52497706918177,-73.6106863617897,4.0,12.0,5.0,,,
256,Dollard / Van Horne,12,7,19,45.51915286772737,-73.61646920442581,3.642857142857143,29.0,7.0,,,
257,de Maisonneuve / Mansfield (sud),10,16,27,45.502053864057466,-73.57346534729004,4.0,31.0,8.0,,,
258,Hélène-Baillargeon / St-Denis,17,2,19,45.52974,-73.59527,4.083333333333333,24.0,6.0,7.75,50.0,2.0
259,St-Dominique / Bernard,22,1,23,45.52793332015246,-73.60122251338906,4.0,14.0,8.0,,0.0,1.0
260,St-Hubert / Laurier,19,0,19,45.52895039362793,-73.587866127491,4.25,24.0,6.0,,,
261,Hutchison / des Pins,16,4,22,45.51069,-73.57805,4.222222222222222,61.0,9.0,,,
262,Durocher / Sherbrooke,20,3,23,45.507076248365834,-73.57228517532349,3.9545454545454546,55.0,11.0,6.8,9.0,1.0
263,de l'Hôtel-de-Ville / Sherbrooke,19,7,27,45.5145247302944,-73.56835573911665,4.0,55.0,6.0,8.5,20.0,2.0
264,Cartier / Rosemont,17,2,19,45.54124722370603,-73.59104454517365,4.5,24.0,4.0,,,
265,Graham / Brookfield,16,6,23,45.52022241072457,-73.62985610961914,4.0,1.0,1.0,,,
266,Brittany / Ainsley,6,12,19,45.52588991809354,-73.65003436803818,,,,,0.0,1.0
267,Parc Pratt (Dunlop / Van Horne),14,1,15,45.51491895406187,-73.61968517303467,3.3333333333333335,20.0,3.0,8.7,103.0,1.0
268,de Bellechasse / de St-Vallier,16,3,19,45.53341043363302,-73.60112428665161,4.25,11.0,6.0,,,
269,St-Dominique / St-Zotique,29,2,31,45.53226461018495,-73.6110632121563,4.0,9.0,4.0,,,
270,Louis-Hébert / de Bellechasse,22,3,26,45.546661109634606,-73.58868420124054,4.625,6.0,4.0,8.8,34.0,1.0
271,de Bordeaux / St-Zotique,15,2,19,45.546539011777845,-73.59866470098495,4.5,5.0,3.0,,,
272,Clark / Laurier,11,1,15,45.522544455627866,-73.59346926212311,4.15,35.0,10.0,9.1,214.0,1.0
273,Parc Joyce (Rockland / Lajoie),11,4,15,45.515617,-73.614991,3.5833333333333335,28.0,6.0,,,
274,des Érables / Bélanger,12,3,15,45.54912085535069,-73.60087350010872,4.5,5.0,3.0,,,
275,Louis-Hébert / St-Zotique,12,2,15,45.55001,-73.59576,4.5,5.0,3.0,8.4,29.0,1.0
276,Parc du Pélican (1ère avenue / Masson),26,11,39,45.5451997,-73.57645065,5.0,3.0,2.0,,,
277,de Gaspé / Beaubien,13,6,19,45.531957916826386,-73.60700100660324,4.0,9.0,4.0,,,
278,Parc Père-Marquette (Chambord / Rosemont),25,14,39,45.53708783301333,-73.59321847558022,4.5,21.0,3.0,,0.0,1.0
279,Villeneuve / du Parc,4,11,15,45.51829,-73.59235,4.2272727272727275,36.0,11.0,9.1,29.0,1.0
280,1ère avenue / Rosemont,7,7,15,45.54779995287998,-73.58486741781235,4.625,6.0,4.0,9.3,159.0,2.0
281,1ère  avenue / St-Zotique,12,3,15,45.551937362101,-73.59392791986465,4.25,4.0,2.0,8.8,46.0,1.0
282,Boyer / Rosemont,17,9,31,45.53409866804061,-73.59553456306458,4.3,23.0,5.0,,,
283,Cartier / Bélanger,20,3,23,45.546779039476185,-73.60281676054001,4.75,4.0,2.0,,,
284,de l'Hôtel-de-Ville / Roy,4,15,19,45.51733075399989,-73.57449866831303,4.083333333333333,54.0,6.0,8.7,103.0,1.0
285,Chambord / Beaubien,7,10,19,45.539900246044354,-73.59936207532883,4.5,24.0,4.0,,,
286,de Brébeuf / du Mont-Royal,5,16,23,45.52927839879717,-73.57792854309082,4.4,77.0,5.0,,,
287,Drolet / Beaubien,12,11,23,45.533348,-73.605834,4.166666666666667,12.0,6.0,,,
288,5e avenue / Rosemont,16,3,19,45.54990048023633,-73.58308374881744,4.625,6.0,4.0,9.1,29.0,1.0
289,Chabot / Beaubien,13,0,15,45.544375546398065,-73.59564453363419,4.75,4.0,2.0,,,
290,Henri-Julien / de Bellechasse,17,2,19,45.5315079142152,-73.60308364033699,4.071428571428571,12.0,7.0,,,
291,27e avenue / Rosemont,14,3,19,45.563709940264175,-73.57139468193054,4.5,256.0,1.0,,,
292,Drolet / St-Zotique,16,3,19,45.53488214147823,-73.60941231250763,4.0,9.0,4.0,,,
293,Fullum / Holt,20,7,27,45.54391953154915,-73.58424894533528,4.833333333333333,5.0,3.0,,0.0,1.0
294,3e avenue / Holt,18,1,19,45.54800352985515,-73.58138993382454,4.5,5.0,3.0,,,
295,de St-Vallier / St-Zotique,17,1,19,45.536434338630336,-73.60783427975548,4.2,10.0,5.0,,0.0,2.0
296,Cartier / Dandurand,21,0,23,45.53923559055867,-73.58594566583633,4.3,23.0,5.0,7.6,16.0,1.0
297,Graham / Wicksteed,12,6,19,45.51693654712809,-73.64048302173615,,,,9.0,787.0,2.0
298,Mozart / Waverly,14,1,15,45.5315236502754,-73.61701235175133,4.1,31.0,5.0,,,
299,Chabot / de Bellechasse,16,2,19,45.5425697477813,-73.59214425086974,4.75,4.0,2.0,8.4,56.0,1.0
300,de Lanaudière / Bélanger,23,0,23,45.54365085053057,-73.60565051436424,4.25,3.0,2.0,9.4,244.0,1.0
301,Waverly / St-Zotique,17,2,19,45.53050525974957,-73.61470833420753,4.1,31.0,5.0,6.6,8.0,1.0
302,15e avenue / Masson,22,0,23,45.55389801568004,-73.5713866353035,4.5,256.0,1.0,,,
303,Fabre / St-Zotique,15,3,19,45.543653916207866,-73.60126135876271,4.75,4.0,2.0,,,
304,16e avenue / St-Joseph,5,16,23,45.55293611277267,-73.56577143073082,4.5,280.0,4.0,,,
305,Boyer / Bélanger,15,5,23,45.54006,-73.60897,4.0,8.0,3.0,,,
306,St-Urbain / Beaubien,12,3,15,45.52954744851231,-73.61071854829788,4.0,10.0,5.0,8.35,62.0,2.0
307,Marie-Anne / Papineau,20,2,23,45.53176697148175,-73.5724139213562,4.375,59.0,4.0,,,
308,St-André / Robin,9,6,15,45.518128086513194,-73.56185138225555,4.0625,122.0,8.0,8.7,17.0,3.0
309,Jeanne-Mance / Beaubien,8,6,15,45.527650097960205,-73.61229971051216,3.9166666666666665,12.0,6.0,7.7,29.0,1.0
310,Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance),4,21,27,45.508204615051355,-73.56881439685822,4.05,73.0,10.0,,,
311,Marquette / Rachel,10,5,15,45.52983801723605,-73.5703244805336,4.375,59.0,4.0,,,
312,Wolfe / Robin,16,6,23,45.51958082831579,-73.5601159930229,4.0625,118.0,8.0,7.6,16.0,1.0
313,Bourbonnière / du Mont-Royal,16,5,23,45.55358456339093,-73.56052905321121,4.25,379.0,6.0,7.9,51.0,1.0
314,Graham / Kindersley,11,12,23,45.514080696641386,-73.64694982767105,,,,7.9,51.0,1.0
315,McCulloch / de la Côte Ste-Catherine,8,1,15,45.51577505385328,-73.60060930252075,4.125,14.0,8.0,,,
316,26e avenue / Beaubien,9,3,15,45.56485589064712,-73.5774926841259,,,,,,
317,St-Christophe / René-Lévesque,14,5,19,45.5150280816668,-73.55635821819305,3.9375,46.0,8.0,,,
318,de Chambly / Rachel,22,1,23,45.54991069359101,-73.55826258659361,3.5,68.0,3.0,,0.0,2.0
319,35e avenue / Beaubien,26,1,27,45.570081,-73.573047,,,,,,
320,Plymouth / Duncan,12,2,15,45.50316529501043,-73.66222634911537,4.0,1.0,1.0,,0.0,3.0
321,de Bordeaux / Sherbrooke,15,3,19,45.529914321737415,-73.56302618980408,3.875,59.0,4.0,7.4,11.0,1.0
322,d'Orléans / Hochelaga,12,7,19,45.55061693669672,-73.54901432991028,3.7,113.0,5.0,8.7,17.0,4.0
323,Jeanne-d'Arc / Ontario,5,17,23,45.54959767887176,-73.54187428951263,3.875,56.0,4.0,9.0,787.0,2.0
324,41e avenue / Rosemont,15,4,19,45.57178977666956,-73.56431499123573,,,,,,
325,Parc de Beauséjour (Gouin / Henri-d'Arles),7,11,19,45.526765,-73.730423,,,,,,
326,12e avenue / St-Zotique,15,7,23,45.5568667309625,-73.589306473732,4.25,4.0,2.0,9.1,214.0,1.0
327,19e avenue / St-Zotique,18,3,23,45.56168275734862,-73.58564794063568,4.0,1.0,1.0,,0.0,4.0
328,de Lisieux / Jean-Talon,11,6,19,45.57934937043077,-73.58168095350266,,,,,0.0,1.0
329,de Gaspé / Dante,21,1,23,45.53429782539273,-73.61217230558395,4.0,9.0,4.0,9.1,214.0,1.0
330,Davaar / de la Côte-Ste-Catherine,10,2,15,45.514379,-73.610871,3.5833333333333335,28.0,6.0,,,
331,Alton-Goldbloom / Notre-Dame,19,0,19,45.54502601340392,-73.73787671327591,,,,8.1,43.0,1.0
332,Bloomfield / Van Horne,19,3,23,45.522745298216094,-73.61328139901161,4.0,14.0,7.0,,,
333,Place des Festivals ( du Président-Kennedy / de Bleury),6,21,27,45.50764392965887,-73.56932401657104,4.0,48.0,9.0,,,
334,de la Roche / Bélanger,15,6,23,45.541669595766315,-73.60760450363159,4.166666666666667,6.0,3.0,,,
335,Campus MIL (Outremont / Thérèse-Lavoie Roux),16,5,23,45.52311432992147,-73.61815363168716,4.0,7.0,4.0,,,
336,Le Corbusier / St-Martin O,14,5,19,45.565006717407506,-73.7319054454565,,,,,,
337,Place du Canada (Peel / des Canadiens-de-Montréal),24,2,26,45.49788352593901,-73.56856763362885,4.25,21.0,6.0,,0.0,1.0
338,Dollard / Bernard,8,14,23,45.51678269880724,-73.61142262816429,3.5833333333333335,28.0,6.0,,,
339,de la Roche /  de Bellechasse,14,4,19,45.53718135927993,-73.59750330448149,4.5,21.0,3.0,,,
340,11e avenue / du Souvenir,11,4,15,45.56933906192115,-73.70472729206085,,,,,,
341,Ernest-Gendreau / du Mont-Royal,17,3,23,45.549713734001415,-73.56384828686714,3.5,17.0,2.0,,,
342,Paré / Mountain Sights,9,4,13,45.49810026070624,-73.65294188261032,4.0,1.0,1.0,8.8,34.0,4.0
343,Métro Lucien-L'Allier  (Lucien l'Allier / Argyle),13,4,17,45.49487159597493,-73.57112377882004,4.3,18.0,5.0,8.0,131.0,1.0
344,Robin / 15e rue,9,5,15,45.559495502858624,-73.6989176273346,4.0,1.0,1.0,,,
345,Beaudry / Sherbrooke,22,3,27,45.52303493310712,-73.56539458036421,3.8,101.0,5.0,,,
346,8e avenue / Dandurand,17,1,19,45.550113551561694,-73.5772217810154,4.5,2.0,2.0,,0.0,1.0
347,Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),25,1,26,45.50363996257211,-73.6182689666748,2.5,19.0,2.0,,0.0,1.0
348,Parc Henri-Dunant (Léger / Henri-Dunant),11,5,19,45.56843961893042,-73.6752020941276,,,,,,
349,Gauthier / de Lorimier,16,1,19,45.53166363055749,-73.56536373496056,3.875,59.0,4.0,7.9,12.0,2.0
350,Édouard-Montpetit / de Stirling,19,0,19,45.50723,-73.615085,3.3333333333333335,20.0,3.0,,,
351,du Mans / des Alouettes,4,19,23,45.58033485941123,-73.68471868336201,,,,,0.0,2.0
352,St-Dominique / Napoléon,11,9,23,45.51666442219882,-73.57722043991089,4.333333333333333,52.0,6.0,,0.0,3.0
353,Place d'Youville / McGill,12,5,19,45.49996470926352,-73.55615437030792,4.2,144.0,10.0,8.0,131.0,1.0
354,St-Jean-Baptiste / René-Lévesque,5,9,15,45.64141535746634,-73.4999567270279,,,,,,
355,Sabrevois / des Récollets,11,3,15,45.583287878804136,-73.63276362419128,5.0,1.0,1.0,9.0,21.0,1.0
356,Dorion / Rachel,16,0,19,45.53163403743962,-73.56824576854706,4.1,60.0,5.0,,,
357,Parc nature de l'Île-de-la-Visitation (Gouin / de Bruchési),7,3,19,45.57833184623925,-73.65595400333405,4.75,11.0,2.0,,,
358,du Tricentenaire / Prince-Albert,2,13,15,45.64954588445726,-73.49191546440125,,,,,0.0,4.0
359,Aylmer / Sherbrooke,21,6,27,45.50629456823703,-73.57282698154448,3.888888888888889,34.0,9.0,,,
360,Fortune / Wellington,10,17,27,45.477923,-73.559038,3.875,6.0,4.0,,0.0,2.0
361,Place du Village (St-Jean-Baptiste / Notre-Dame),4,10,15,45.640002860465096,-73.49011301994324,,,,,,
362,Gary-Carter / St-Laurent,35,3,38,45.53613488953656,-73.62258464097977,4.125,30.0,4.0,,0.0,1.0
363,Métro Parc  (Hutchison / Ogilvy),22,11,33,45.53035130173597,-73.6243924498558,4.1,31.0,5.0,,,
364,Logan / de Champlain,14,5,19,45.5231943285584,-73.55584256350994,3.3333333333333335,21.0,3.0,,,
365,Bourgeoys / Favard,21,6,27,45.47993042065731,-73.55592101812363,3.875,6.0,4.0,9.5,258.0,1.0
366,Richmond / des Bassins,15,14,31,45.48752158511353,-73.56500297784805,4.125,6.0,4.0,,,
367,Parc Chenier (de l'Aréna / Chenier),8,6,19,45.60248649638568,-73.5432904958725,,,,,,
368,Bloomfield / Jean-Talon,12,1,15,45.52745655427204,-73.62411618232727,4.1,31.0,5.0,,0.0,5.0
369,René-Lévesque / Panet,15,3,19,45.51862424058306,-73.55219006538391,4.0,41.0,7.0,8.8,73.0,2.0
370,6e avenue / Villeray,13,2,15,45.55873962047568,-73.60589044634253,,,,,,
371,du Mont-Royal / Augustin-Frigon,4,15,19,45.54355786336148,-73.56780052185059,5.0,3.0,2.0,,,
372,Michelet / Jean-Talon,21,1,23,45.57627820285533,-73.58353972434998,,,,,0.0,1.0
373,des Bassins / du Séminaire,3,30,35,45.49047561880464,-73.56022328138351,3.8333333333333335,6.0,3.0,,,
374,Parc du Pélican (2e avenue / St-Joseph),13,6,19,45.54458083116821,-73.5717111825943,5.0,3.0,2.0,9.0,21.0,1.0
375,Marie-Anne / de la Roche,16,3,19,45.527550507601894,-73.5762870311737,4.2,79.0,5.0,,,
376,St-Dominique / Rachel,9,17,31,45.518593,-73.581566,4.2727272727272725,109.0,11.0,,,
377,7e avenue / St-Joseph Rosemont,18,9,27,45.54710817336986,-73.56936693191528,5.0,1.0,1.0,,,
378,Jean Langlois / Fullum,27,2,31,45.526499983000186,-73.54575277422555,3.0,3.0,2.0,,,
379,Bibliothèque de Verdun (Brown / Bannantyne),11,4,15,45.44826204820947,-73.57785612344742,3.8333333333333335,6.0,3.0,,0.0,1.0
380,LaSalle / Crawford,0,11,15,45.43791516514076,-73.58253550531117,4.5,10.0,2.0,,,
381,McNamara / St-Martin O,6,13,19,45.57120355585774,-73.72351884841918,,,,,,
382,Natatorium (LaSalle / Rolland),7,19,27,45.4443505862464,-73.57542979723802,4.0,7.0,3.0,,,
383,Mairie d'arrondissement LaSalle (Dupras / Jeannette),1,12,15,45.429166968311485,-73.66280972957611,5.0,1.0,1.0,7.6,31.0,3.0
384,Parc Chopin (Dumouchel / Tessier),12,7,19,45.570726609302966,-73.7370860205192,,,,,,
385,Pierre-Péladeau / du Centropolis,20,3,23,45.56251175219665,-73.74370649456978,,,,9.1,214.0,1.0
386,Jeanne-Mance / St-Martin O,21,1,23,45.557421482389636,-73.7480603903532,,,,8.7,103.0,1.0
387,Argyle / de Verdun,17,6,23,45.45301583620112,-73.57191503047943,4.3,8.0,5.0,,,
388,St-Jacques / Vinet,11,3,15,45.485328993998365,-73.57692271471024,4.333333333333333,6.0,6.0,,,
389,St-Charles / Thomas-Keefer,7,3,23,45.477605,-73.573775,4.2,5.0,5.0,9.1,29.0,1.0
390,de Chenonceau / Chomedey,18,5,23,45.56157,-73.75448,,,,8.8,34.0,3.0
391,St-Joseph / 8e avenue Lachine,18,9,27,45.431518914135125,-73.67110446095467,4.75,14.0,2.0,,0.0,2.0
392,Lionel-Groulx / George-Vanier,10,13,23,45.486346321757786,-73.57352435588837,4.4,5.0,5.0,,,
393,8e avenue / Notre-Dame Lachine,13,5,19,45.43498715540587,-73.67079868912697,4.75,14.0,2.0,8.133333333333333,83.0,3.0
394,Beatty / de Verdun,10,10,23,45.450729976972944,-73.5725748538971,4.3,8.0,5.0,,,
395,Duvernay / Charlevoix,13,6,19,45.4820980397155,-73.57487618923187,4.285714285714286,7.0,7.0,,,
396,Mayfield / St-Martin O,5,14,19,45.553017541248565,-73.75822663307189,,,,,,
397,Gloria / Dollard,8,5,15,45.42971096449354,-73.633883446455,,,,,0.0,2.0
398,Bel Air / St-Antoine,11,11,23,45.4824297233159,-73.58367975812143,4.428571428571429,7.0,7.0,,,
399,4e avenue / de Verdun,10,5,15,45.4568844514464,-73.57260704040527,4.333333333333333,9.0,6.0,,0.0,1.0
400,41e avenue / Victoria,13,2,15,45.44053238705948,-73.70242863893507,,,,8.3,63.0,2.0
401,de l'Église / Bannantyne,4,10,15,45.4632535358533,-73.57587933540344,5.0,2.0,2.0,,,
402,Regina / de Verdun,20,3,23,45.467369,-73.570769,3.625,5.0,4.0,,,
403,Turgeon / Notre-Dame,7,12,19,45.47888852807208,-73.58198940753937,4.4,5.0,5.0,7.9,51.0,1.0
404,Métro Place St-Henri (St-Ferdinand / St-Jacques),10,17,27,45.47729315148685,-73.58732163906097,4.416666666666667,14.0,6.0,8.4,34.0,1.0
405,Jacques-Le Ber / de la Pointe Nord,23,3,27,45.47259900304475,-73.5398056358099,,,,9.3,159.0,2.0
406,St-Rémi / Ste Émilie,19,4,27,45.46976641104386,-73.58925875287241,4.7,27.0,5.0,,,
407,Métro Lasalle (de Rushbrooke / Caisse),13,9,23,45.47069642604657,-73.56542240828276,3.5,6.0,5.0,,0.0,2.0
408,Métro de l'Église (Ross / de l'Église),1,17,19,45.462846046287325,-73.56592163443565,4.0,8.0,5.0,,0.0,1.0
409,Métro Verdun (Willibrord / de Verdun),21,4,27,45.459487694540734,-73.57209205627441,4.333333333333333,9.0,6.0,,,
410,Rose-de-Lima / Workman,13,9,23,45.48026417718717,-73.58099363744259,4.4,5.0,5.0,,,
411,Panet / Ste-Catherine,22,4,27,45.51999897796297,-73.5548883676529,3.9,25.0,5.0,,,
412,Ste-Claire / Pierre-Tétreault,12,6,19,45.60191332161639,-73.52441847324371,,,,,,
413,Parc Félix-Leclerc (François-Boivin / St-Zotique),2,10,15,45.5914549914687,-73.56275528669356,,,,,,
414,Desjardins / Ontario,14,9,23,45.55118417872238,-73.54087114334106,4.3,104.0,5.0,,,
415,Montcalm / Ontario,21,5,27,45.52111152278944,-73.56231406331062,3.8,101.0,5.0,,,
416,Métro Lionel-Groulx (St-Jacques / Atwater),30,2,33,45.48295816149219,-73.57975836854166,4.5,6.0,6.0,7.7,29.0,1.0
417,5e avenue / Bannantyne,5,8,15,45.456365,-73.57614,4.3,8.0,5.0,,0.0,1.0
418,Letourneux / Ste-Catherine,16,3,19,45.55078357889704,-73.53409996037954,4.5,4.0,2.0,7.3,32.0,1.0
419,de Grosbois / Duchesneau,9,5,15,45.611230741550536,-73.5312415660519,,,,,,
420,Métro Joliette  (Joliette / Hochelaga),11,7,19,45.54690718297082,-73.5515570640564,3.5,54.0,3.0,7.2,8.0,4.0
421,Métro Préfontaine (Moreau / Hochelaga),12,18,31,45.541374968866094,-73.5542231798172,3.5,3.0,2.0,,,
422,Peel / Notre-Dame,40,5,47,45.49544692088696,-73.56329441070557,4.25,135.0,8.0,9.4,244.0,2.0
423,Letourneux / Hochelaga,9,6,15,45.55465888075087,-73.54660302400589,4.166666666666667,125.0,6.0,,,
424,Ontario / Sicard,16,4,23,45.55626186680846,-73.53744059801102,4.5,4.0,2.0,,,
425,Argyle / Bannantyne,4,10,15,45.453318765468914,-73.5767751932144,4.3,8.0,5.0,,,
426,Ontario / Viau,17,2,19,45.5594818,-73.535496,5.0,2.0,1.0,,,
427,Souligny / Desmarteau,12,2,15,45.60444089974122,-73.51611837744713,4.0,1.0,1.0,,0.0,4.0
428,Parc Lalancette (de Rouen / Valois),11,10,23,45.54814504700217,-73.5471260547638,3.625,70.0,4.0,,,
429,Métro Pie-IX (Pierre-de-Coubertin / Desjardins),5,25,33,45.554373399819674,-73.55137467384337,4.214285714285714,381.0,7.0,,,
430,Montcalm / de Maisonneuve,6,11,19,45.519131967116216,-73.55788965214742,4.0625,118.0,8.0,,0.0,3.0
431,Métro Beaudry (Beaudry / Ste-Catherine),11,11,23,45.51888453178292,-73.55593845248222,3.9166666666666665,38.0,6.0,,0.0,1.0
432,des Ormeaux / Notre-Dame,16,5,23,45.59926552299961,-73.51226069033146,4.0,1.0,1.0,,,
433,Ste-Catherine / Dezery,15,4,19,45.53938508196168,-73.54099988937377,3.5,3.0,2.0,,0.0,1.0
434,Métro Assomption (Chauveau / de l'Assomption),20,0,23,45.569789,-73.548081,4.5,7.0,1.0,,,
435,André-Laurendeau / Rachel,2,18,23,45.54303187243879,-73.56256484985352,4.0,3.0,2.0,9.3,159.0,2.0
436,Métro Cadillac (Cadillac / Sherbrooke),4,13,19,45.57683333463968,-73.54647415224463,,,,7.8,20.0,2.0
437,du Parc-Lafontaine / Rachel,16,3,19,45.52551168509886,-73.57424452900887,4.142857142857143,105.0,7.0,8.0,131.0,1.0
438,St-Germain / Hochelaga,12,2,15,45.543652466151,-73.5534825682771,3.5,3.0,2.0,,,
439,Métro Langelier (Langelier / Sherbrooke),10,8,19,45.58284663189181,-73.54247644543648,,,,6.8,9.0,1.0
440,Pierre-de-Coubertin / Langelier,8,10,19,45.580314546424674,-73.5353136062622,,,,,,
441,Atateken / du Square Amherst,4,25,31,45.52063377251984,-73.56390595436096,3.9166666666666665,104.0,6.0,,0.0,1.0
442,St-Grégoire / Christophe-Colomb,12,8,23,45.53259744983328,-73.59011113643646,4.416666666666667,24.0,6.0,,,
443,de Léry / Sherbrooke,17,4,23,45.54099971663243,-73.55826258659361,4.0,3.0,2.0,7.55,39.0,6.0
444,Du Quesne / de Marseille,18,2,23,45.575812361972055,-73.54123055934906,,,,,,
445,St-André / Ontario,6,12,19,45.51889,-73.56353,3.9285714285714284,117.0,7.0,,,
446,Valois / Ste-Catherine,15,8,23,45.54522973039872,-73.53725016117096,4.5,4.0,2.0,,0.0,3.0
447,Alexandre-DeSève / Ste-Catherine,15,4,19,45.52123044585842,-73.55386108160019,3.75,22.0,4.0,,,
448,Bibliothèque et Complexe aquatique Rosemont (8e avenue / Rosemont),12,1,15,45.55151193681962,-73.58207792043686,4.5,5.0,3.0,6.6,8.0,1.0
449,Nicolet / Sherbrooke,12,8,23,45.54969542033443,-73.55464696884155,3.625,70.0,4.0,,,
450,Alexandre-DeSève  / Ontario,17,4,23,45.52435882510794,-73.56053441762924,3.8,101.0,5.0,,,
451,Dézéry / Ontario,20,3,23,45.54095791741757,-73.54702949523926,3.5,3.0,2.0,7.1,21.0,1.0
452,Ste-Catherine / St-Clément,4,11,15,45.55671730558936,-73.53024959564209,5.0,2.0,1.0,,,
453,de l'Église / de Verdun,13,3,19,45.46300108733155,-73.57156895217486,3.875,5.0,4.0,,,
454,St-Jacques / St-Laurent,10,12,23,45.50644464920572,-73.55648696422577,4.25,182.0,14.0,,,
455,Liébert / Hochelaga,1,18,23,45.59587457490178,-73.52352797985077,,,,,,
456,du Champ-de-Mars / Gosford,6,15,23,45.50965520472071,-73.55400860309601,4.2272727272727275,52.0,11.0,7.4,10.0,1.0
457,St-Jacques / McGill,19,12,31,45.50144108135568,-73.56014415621758,4.090909090909091,144.0,11.0,,,
458,Chambord / Gilford,20,0,23,45.53148889001714,-73.58106136322021,4.125,80.0,8.0,,0.0,1.0
459,Milton / Clark,25,1,27,45.51264002999939,-73.57060074806213,4.0,63.0,8.0,,,
460,de l'Hotel-de-Ville / Rachel,10,4,15,45.51989655507833,-73.58010649681091,4.3,108.0,10.0,9.0,787.0,2.0
461,Gagne / LaSalle,8,8,19,45.422451407155854,-73.601194024086,4.0,6.0,1.0,9.15,597.0,2.0
462,Notre-Dame / Gauvin,2,16,19,45.50002580878596,-73.5601931065321,4.111111111111111,138.0,9.0,,,
463,Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand),17,5,23,45.5967964774917,-73.53517949581145,,,,,,
464,de la Montagne / Sherbrooke,13,6,19,45.500015468871446,-73.57938900589943,4.1875,411.0,8.0,,,
465,des Récollets / McGill,20,0,23,45.5008764952487,-73.55900555849075,4.090909090909091,144.0,11.0,,,
466,Métro Radisson (Sherbrooke / des Groseilliers),4,14,19,45.58917500418707,-73.53965610265732,,,,,,
467,City Councillors / du President-Kennedy,13,17,31,45.50625103256782,-73.57139065861702,4.0,32.0,9.0,,,
