station_no,name,empty_slots,free_bikes,slots,latitude,longitude,avg_rating,total_review_count,POI,avg_rating_fsq,total_ratings_count_fsq,POI_fsq
52,Parc Grovehill (St-Antoine / Ivan-Franko),4,9,15,45.43982382100397,-73.69487822055817,,,,,0.0,1.0
53,Bibliothèque Jean-Corbeil (Goncourt / Place Montrichard),10,1,11,45.6027276,-73.5579303,,,,,0.0,2.0
54,Aréna Chaumont (Chaumont / des Ormeaux),8,8,19,45.610926628992026,-73.54673445224762,,,,,0.0,1.0
55,Parc Chamberland (Dorais / de l'Église),14,4,19,45.502989,-73.689113,,,,7.9,16.0,1.0
56,Parc Summerlea (53e avenue / St-Joseph),1,12,15,45.43836713933041,-73.71546685695648,4.5,2.0,1.0,,,
57,Parc Kirkland (des Érables / Boyer),7,8,15,45.44606092178209,-73.65079946815968,,,,,,
58,William / Robert-Bourassa,18,2,21,45.49716534003792,-73.55933010578154,4.25,135.0,8.0,7.9,16.0,1.0
59,Quai de la navette fluviale,13,6,19,45.51366626207095,-73.53842496871948,4.5,46.0,2.0,,0.0,3.0
60,St-Antoine / de la Montagne,13,6,19,45.49537171535007,-73.56858909130096,4.25,21.0,6.0,,,
61,Lapierre / Serge,11,2,15,45.43854405099729,-73.62021625041962,,,,,0.0,2.0
62,Parc St-Louis (St-Joseph / 34e avenue),7,18,27,45.432839840726125,-73.69349151849747,,,,,,
63,Victoria / 18e avenue Lachine,5,8,15,45.43579350588776,-73.6801904439926,4.5,13.0,1.0,9.0,51.0,2.0
64,LaSalle / 80e avenue,12,10,23,45.4157471675921,-73.63751649856567,4.5,3.0,1.0,9.3,576.0,1.0
65,LaSalle / 37e avenue,0,21,23,45.41631023854958,-73.61291594803333,,,,,0.0,1.0
66,Métro Jolicoeur (de Sève / Drake),1,16,19,45.45608545783109,-73.58193710446358,4.666666666666667,4.0,3.0,,,
67,Duchesneau / de Marseille,26,1,27,45.60962627826218,-73.52273898082785,,,,7.8,15.0,1.0
68,Papineau / Émile-Journault,19,12,35,45.55988367688166,-73.63356828689575,4.0,1.0,1.0,,0.0,2.0
69,LaSalle / Godin,25,2,27,45.44693448484644,-73.57219934463501,3.8333333333333335,6.0,3.0,,0.0,1.0
70,Parc Delorme (Malouin / Laferté),18,1,19,45.5904902,-73.5902694,,,,,,
71,Parc Luigi-Pirandello (de Bretagne / Jean-Rivard),8,5,15,45.57940569041942,-73.60258877277374,,,,,,
72,Parc Beaulac (rue Élizabeth),7,8,15,45.5200557245067,-73.67795147001743,,,,8.25,122.0,3.0
73,Parc St-Laurent (Dutrisac),7,11,19,45.52591381815231,-73.68911147117615,,,,,0.0,3.0
74,CHSLD St-Michel (8e avenue / Jarry),13,2,15,45.5616903,-73.610512,4.0,1.0,1.0,8.7,17.0,3.0
75,Georges-Vanier / Notre-Dame,15,4,19,45.485047979822774,-73.5719633102417,4.25,8.0,6.0,,,
76,Travaux publics LaSalle (Cordner / Léger),13,2,15,45.44527192876118,-73.62448364496231,,,,8.7,103.0,1.0
