row_from_station,fsq_id,category_id,name,latitude,longitude,rating,total_ratings,total_photos,total_tips
0,4e0f93e61838f62321d0ff56,12082,Verdun Natatorium,45.443318,-73.575436,7.3,8,24,0
0,515f0eebe4b037e78a1ce80b,16032,Parc Hadley,45.444031,-73.576668,,,,
0,5179c6db498e11ab2e537f08,16032,Parc du Quai-de-la-Tortue,45.447545,-73.571364,7.6,11,12,1
0,3650919d44c74812ef3b2879,,Rock the Cradle - Montreal Doula Svc,45.445133,-73.575494,,,,
0,214593a9777443a335c8f1ba,17043,Sacoche Lasalle Inc,45.444031,-73.576668,,,,
0,a0a1a46302d84cea35af2399,18075,Piscine Natatorium,45.443527,-73.576314,,,,
0,4c8c177df0ce236ad51f15ef,15000,Pharmaprix,45.447512,-73.573007,6.5,11,1,4
0,4ca87e3844a8224bedf11740,16032,Parc Honorable George O'Reilly,45.446154,-73.57277,,,,
0,4bbc013c2d9ea5935f39a0ce,13034,Frejus St Raphael Cafe,45.44922,-73.572772,7.7,26,20,7
0,087bb561ae4b448cd3883137,11119,Lapierre Gestion Documentaire,45.445719,-73.574643,,,,
0,513be4597050476606b9a306,,Bleu Blanc Tech,45.445916,-73.5761,,,,
0,b40878f2f35b44ca44ca9e9c,11038,Les Mariages d'Amélie,45.445995,-73.57499,,,,
0,4e22fb03628469a574254e8d,16000,Montreal Wanderers Game Field,45.442725,-73.579431,,,,
0,bfb936105e344ed5dd198cb8,11092,Platinum JR,45.446457,-73.574618,,,,
0,4fe093ae8aed4d7fd64f6ea8,11061,Esthétique Chez Karine,45.446302,-73.573887,,,,
0,4e11d58e6284edb6badaa3a3,12058,École Primaire Notre-Dame-De-La-Garde,45.448199,-73.575496,,,,
0,4fff029fe4b07827a79c2ee0,11057,Zeste du Monde,45.447172,-73.572996,,,,
0,0cc585f428614346759363bf,,Massothérapie Josée Lesage,45.44593,-73.57818,,,,
0,5ba817d0112c6c002cb455f5,17029,Dépanneur OMA,45.445355,-73.581305,,,,
0,57fb85f600584f936942c10b,19055,Voyages Verdun,45.446546,-73.573025,,,,
1,4bc73c9e0050b713a142b83b,13031,Patati Patata Friterie de Luxe,45.518052,-73.581418,8.6,306,152,85
1,4ad8c39cf964a520761421e3,13034,Café Névé,45.519548,-73.580498,8.9,406,262,118
1,4b0eb9f4f964a520285a23e3,13031,Pitarifique,45.517819,-73.581702,7.6,39,20,13
1,533de7ac498e9266dca655ff,10039,Le Majestique,45.517562,-73.580385,9.0,222,109,49
1,4c8d453bf0ce236a58971fef,13027,L'Étoile de l'océan Fine Cuisine Portuguaise,45.519086,-73.58087,7.3,12,11,0
1,4f2de31ae4b05a84d86e2d52,13325,Boca Iberica,45.517588,-73.581888,7.7,12,10,4
1,4ba8e445f964a520a0f739e3,11064,Hed Salon,45.51865,-73.582746,7.7,11,6,7
1,5753b13d498e0bb79b5907c4,13263,Noren のれん,45.517058,-73.582791,9.2,52,40,11
1,58c8b974951e7d7e08bc6fd8,13016,Darling,45.518909,-73.583965,9.2,152,113,23
