row_from_station,fsq_id,category_id,name,latitude,longitude,rating,total_ratings,total_photos,total_tips
560,4b1a7a09f964a520e0ea23e3,13002,Les Co'Pains d'Abord,45.546689,-73.575943,8.4,63,15,25
560,4e8230b4f5b91d2e46d64910,13003,Quai No.4,45.547043,-73.575275,8.3,121,113,40
560,4b1aa496f964a52035ee23e3,13031,Frite Alors,45.550024,-73.574013,7.5,24,22,6
560,4c63383cfa7bc92866271027,17035,Pharmaprix,45.54838,-73.584965,5.9,6,,1
560,4e14aff7483bfda2e0a83dc6,17068,Les Aliments Merci,45.54732,-73.575623,8.0,9,0,2
560,5277d19d498edfe33eaa687a,13276,Tori Tora Sushi,45.54899,-73.574562,7.7,11,3,3
560,51676069e4b033680a8dfe14,13016,Pub Rosemont,45.545616,-73.586718,8.2,28,21,4
560,4d1295b59844b60c3193bcd4,12057,Ecole St-Francois-Solano,45.555022,-73.574174,,,,
560,4c8bf9648018a1cd4f61e8d2,16032,Parc de l'Ukraine,45.554731,-73.582891,,,,
560,4b0b7093f964a520803123e3,13002,Boulangerie Première Moisson,45.548819,-73.574605,7.4,60,35,19
560,5101e5f4e4b0f4cbf712ad72,17089,Boutique Cadeau Sylvie B,45.550199,-73.573777,,,,
560,4da9fca34df01c19b17fda78,17059,Boucherie Aux Deux Gaulois,45.55015,-73.573436,7.4,9,7,5
560,4d0bf0f25ce054814e8425dc,13009,La Distillerie No 3,45.546007,-73.575921,8.1,94,77,33
560,51f1a0d6498e22dd6411ab92,13064,Pizzeria Geppetto,45.549046,-73.591288,8.4,34,7,10
560,552edc21498ea6903bcafac1,13065,Pot Masson,45.549681,-73.574099,7.3,60,29,11
560,4b59065df964a520fd7828e3,17029,Kik,45.54793,-73.584756,,,,
560,4af8a196f964a520d30e22e3,13003,Chez Baptiste Sur Masson,45.548826,-73.574217,7.2,34,45,12
560,4bc8967e0050b71332abba3b,13002,Gariepy & Fils Fins Gourmets,45.551627,-73.576246,,,,
560,4dfe2390d16411d11c5a7eb7,11071,Parc Beaubien,45.553564,-73.587169,6.8,9,32,3
560,528a9af4498ee2d52ae07fe7,13199,Tandoori Masson,45.548711,-73.574311,7.0,9,7,5
560,4bd607644e32d13a37f0c180,17067,Au Melon Miel,45.547215,-73.575232,7.3,8,1,3
560,4eaf4f379911374b16d09a8e,13034,Cafe Mucho Gusto,45.549337,-73.590959,7.5,23,20,6
560,4adb58fcf964a520422621e3,10026,Cinéma Beaubien,45.54812,-73.592131,8.9,122,73,24
560,4ed3c83893ad987b50f96822,15024,Grimard Optique,45.553329,-73.587549,,,,
560,5408901c498e6df8ee70d6be,13055,Bairrada,45.553444,-73.587456,,,,
560,4d023acab82d721ea1587734,13065,Resto la Grand-Mère Poule,45.548989,-73.591335,7.6,134,52,36
560,4d59b570f8ff236aed39ce4a,17056,Fleuriste Abaca,45.549963,-73.59093,7.0,9,7,1
560,4b940281f964a520f66034e3,13046,La Crémière,45.545547,-73.576197,7.7,11,5,4
560,52647dcd498e25e8a0faceb5,13029,MaBrasserie,45.543446,-73.584466,8.8,62,251,12
560,4b1849e6f964a52048d023e3,17035,Jean Coutu,45.550831,-73.573458,6.9,10,2,5
560,507efcc139505ac65e8f1e6d,17135,Joujoutheque de Rosemont,45.554232,-73.576718,,,,
560,5dc6fdace42b4c0007a7fc75,11044,Caisse populaire Desjardins Ukrainienne de Montréal,45.55518,-73.58596,,,,
560,4b92bde3f964a520561734e3,16032,Parc Molson,45.549367,-73.592268,7.9,51,113,12
561,4bc7586b0050b7136283b83b,13064,Pizza Heure de Pointe,45.524378,-73.521255,8.5,22,8,13
561,52cdfcf3498e03931b3599ba,13068,A&W Restaurant,45.524264,-73.521252,6.7,6,2,1
561,5b05adc8628c83002c6a8191,11107,Beneva - Assurance auto et habitation - Longueuil,45.522634,-73.520378,,,,
561,4e0a5db96284cf220c365f93,13039,Subway,45.523694,-73.521331,6.3,5,0,1
561,59bc307aa4236259f0750fde,13034,Café Dépôt,45.522799,-73.520625,,,,
561,5937423a1543c7473ca3d9bc,17025,Ebox,45.522857,-73.520579,,,,
561,4d4888ef753aa0936aa3d0e0,13145,Thai Express,45.524832,-73.521269,6.6,3,2,1
561,4bf2e04de5eba59361e91d90,13032,Tim Hortons,45.524493,-73.521162,6.0,18,11,9
561,5d9c508d94db700008e255ee,17076,SAQ,45.524988,-73.522001,6.6,3,0,1
561,4ed520b97ee5ddf314bb909f,13309,Taouk du Québec,45.525111,-73.52152,,,,
561,4fed0745e4b00918246d5e49,17030,Elite du Parfums Inc,45.525367,-73.522933,,,,
561,4d9da5f37958f04dd8ef19fa,13035,McCafé,45.524434,-73.521305,,,,
561,4dcc13c0d16478749fb1b6f0,13332,Salade Imagination,45.524551,-73.521115,,,,
561,4d375d2d1931224bdc4a14cb,13276,Sushi Shop,45.524536,-73.52189,,,,
561,4cc60a9138aaa0939e3a1c62,13334,Quiznos,45.524834,-73.521172,,,,
561,508997b0e4b0f38cff791946,17018,Librairie du Campus,45.524788,-73.520638,,,,
561,4d596b5f296d5481e7dd58b1,17035,"Brunet P. Marcotte, pharm. prop. Affilié",45.524778,-73.521122,,,,
561,4d5affd63e6aa14323faed3b,13035,Café Van Houtte,45.525005,-73.521129,,,,
561,51192edee4b051a095463efc,11170,Electronic Box,45.523327,-73.522676,,,,
561,51f14b6a498e3e073319a8eb,13072,Café Bistro Borga,45.524932,-73.521951,,,,
561,4bc098792a89ef3b66b9f088,13031,McDonald's,45.524932,-73.521951,5.2,18,5,5
561,51e961cc498e5993b448303f,13039,Charcuteries Tete de Lard,45.525153,-73.522248,,,,
561,4c4d9361fb742d7fa0e2f42c,17069,Marche Omni,45.525148,-73.522539,,,,
561,5093f71fe4b079e22f1ed5b4,11064,Coiffure Metro-Longueuil 2002,45.525153,-73.522248,,,,
561,4c9b58b4db10b60cb6469a6d,,Iamgold,45.525265,-73.522349,,,,
561,4e149a8b091a9211bed4c80f,13072,Café bistro Longueuil,45.525438,-73.522209,,,,
561,a7d0d28a15154744b5334ca1,11086,Groupe Hbt Inc,45.523215,-73.522576,,,,
561,49bab7263dd145019dc27b0c,17084,Centre du Rasoir et Plus,45.525178,-73.520989,,,,
