row_from_station,id,name,rating,review_count,latitude,longitude
404,Qhn1mID7QRo-7zfksm3IbQ,Parc Sainte-Cunégonde,5.0,1,45.482397,-73.576478
404,wb_k8mRVmwIPfPxVHYxNDQ,Parc Westmount,4.5,9,45.4808971869433,-73.5986780665937
404,wkli_g-HrcQIudeeOqgoWA,Square Sir George Etienne Cartier,5.0,1,45.4740046,-73.5875379
404,_wAroYyk-MvUXBSxt2ic-Q,Parc Atwater,4.0,1,45.483844,-73.579631
406,EqPnsibvW20il8ArvvhUXg,Canal Lachine,4.5,23,45.4673544282248,-73.5908889770508
406,6E8O9MaApSr6rSQ8QpxiVg,Parc Sir-George-Étienne-Cartier,4.0,1,45.4733929483447,-73.5864087212262
406,ivL__jvkMmdER5dHCFlVVg,Woonerf Saint-Pierre,5.0,1,45.4681881767886,-73.5934602694482
406,ZdULjUzJdp8cPF3cZg9OdQ,Parc Saint-Paul,5.0,1,45.4612799091698,-73.5848302988189
406,wkli_g-HrcQIudeeOqgoWA,Square Sir George Etienne Cartier,5.0,1,45.4740046,-73.5875379
407,n3XqT5LikeUreX9WFDZZdw,Parc Arthur-Therrien,3.5,2,45.46624,-73.56235
407,cIOl4h1Jyh8wj6Trl9IbCA,Parc Marguerite-Bourgeoys,4.0,1,45.47517858954719,-73.55888891871605
407,xcHUhWgOZBjC3NC-_igYhQ,Parc Champion du Parc Arthur-Therrien,2.0,1,45.4687120776599,-73.5591041296721
407,ot03_z5esKhEoGXdiud6Mw,Parc Hibernia,4.0,1,45.4787282245199,-73.5647185180584
407,g8aCakgoTC9ArLnZwRqwvg,Parc Saint-Gabriel,4.0,1,45.47784851054346,-73.56640822944779
408,n3XqT5LikeUreX9WFDZZdw,Parc Arthur-Therrien,3.5,2,45.46624,-73.56235
408,J3AMUmtEqXCqF2-lUOak0w,Parc Willibrord,5.0,1,45.45911,-73.57387
408,uYcKN4P7C644e5Ficdh4xA,Parc Desmarchais,4.5,3,45.4539186609283,-73.5653794929385
408,4EXH89p0m_HepYwJZk1-LQ,Parc Monseigneur J-A Richard,5.0,1,45.4571688985545,-73.5627650097013
